request_id,arrival_s,route,verified_user,cache_hit,retries,abuse_score,flagged,latency_ms
1,0.0756,chat,True,False,1,0.0944,False,206.7
2,0.1276,chat,True,False,1,0.2708,False,164.53
3,0.9429,rerank,True,True,1,0.1135,False,179.3
4,1.291,chat,True,False,1,0.0061,False,162.42
5,1.4297,chat,False,False,1,0.2909,False,191.55
6,1.453,chat,True,False,2,0.0133,False,204.2
7,1.4775,embed,True,True,1,0.3419,False,161.24
8,1.5147,chat,True,True,1,0.1153,False,180.28
9,1.6708,rerank,True,False,1,0.1044,False,167.44
10,2.1807,rerank,False,True,1,0.2009,False,149.32
11,2.4511,chat,False,False,1,0.0345,False,168.01
12,2.7903,embed,False,False,2,0.1894,False,177.97
13,2.9883,chat,True,False,2,0.2785,False,171.18
14,3.0472,chat,True,False,1,0.2122,False,178.48
15,3.741,chat,True,False,1,0.0713,False,197.22
16,3.8713,chat,True,True,1,0.3693,False,181.24
17,5.2851,chat,True,True,1,0.0358,False,229.74
18,5.8948,chat,True,True,1,0.1103,False,199.34
19,5.9386,chat,True,False,1,0.1162,False,168.29
20,6.3775,embed,True,True,1,0.0992,False,191.34
21,7.1375,rerank,True,False,1,0.0339,False,176.76
22,7.3997,embed,True,False,3,0.1479,False,244.1
23,9.1635,chat,True,False,1,0.2136,False,176.47
24,9.6203,chat,True,False,1,0.2897,False,174.35
25,10.0749,chat,True,False,1,0.2016,False,186.6
26,10.7864,embed,False,False,1,0.1761,False,197.8
27,11.4054,embed,False,False,1,0.2794,False,205.01
28,11.606,chat,True,True,1,0.3,False,177.07
29,11.9825,chat,True,True,1,0.2883,False,180.89
30,12.1878,rerank,True,True,2,0.0291,False,179.77
31,13.3003,chat,True,False,1,0.2066,False,151.96
32,13.4227,embed,True,True,1,0.0356,False,185.89
33,13.7135,chat,True,False,2,0.3568,False,198.91
34,14.0161,chat,True,False,1,0.1823,False,155.46
35,16.2849,embed,True,False,1,0.145,False,154.38
36,16.5335,chat,True,False,1,0.1333,False,206.72
