user_id,week,state
1,0,trial
2,0,trial
3,0,trial
4,0,trial
5,0,trial
6,0,trial
7,0,trial
8,0,trial
9,0,trial
10,0,trial
11,0,trial
12,0,trial
13,0,trial
14,0,trial
15,0,trial
16,0,trial
17,0,trial
18,0,trial
19,0,trial
20,0,trial
21,0,trial
22,0,trial
23,0,trial
24,0,trial
25,0,trial
26,0,trial
27,0,trial
28,0,trial
29,0,trial
30,0,trial
31,0,trial
32,0,trial
33,0,trial
34,0,trial
35,0,trial
36,0,trial
37,0,trial
38,0,trial
39,0,trial
40,0,trial
41,0,trial
42,0,trial
43,0,trial
44,0,trial
45,0,trial
46,0,trial
47,0,trial
48,0,trial
49,0,trial
50,0,trial
51,0,trial
52,0,trial
53,0,trial
54,0,trial
55,0,trial
56,0,trial
57,0,trial
58,0,trial
59,0,trial
60,0,trial
61,0,trial
62,0,trial
63,0,trial
64,0,trial
65,0,trial
66,0,trial
67,0,trial
68,0,trial
69,0,trial
70,0,trial
71,0,trial
72,0,trial
73,0,trial
74,0,trial
75,0,trial
76,0,trial
77,0,trial
78,0,trial
79,0,trial
80,0,trial
81,0,trial
82,0,trial
83,0,trial
84,0,trial
85,0,trial
86,0,trial
87,0,trial
88,0,trial
89,0,trial
90,0,trial
91,0,trial
92,0,trial
93,0,trial
94,0,trial
95,0,trial
96,0,trial
97,0,trial
98,0,trial
99,0,trial
100,0,trial
101,0,trial
102,0,trial
103,0,trial
104,0,trial
105,0,trial
106,0,trial
107,0,trial
108,0,trial
109,0,trial
110,0,trial
111,0,trial
112,0,trial
113,0,trial
114,0,trial
115,0,trial
116,0,trial
117,0,trial
118,0,trial
119,0,trial
120,0,trial
121,0,trial
122,0,trial
123,0,trial
124,0,trial
125,0,trial
126,0,trial
127,0,trial
128,0,trial
129,0,trial
130,0,trial
131,0,trial
132,0,trial
133,0,trial
134,0,trial
135,0,trial
136,0,trial
137,0,trial
138,0,trial
139,0,trial
140,0,trial
141,0,trial
142,0,trial
143,0,trial
144,0,trial
145,0,trial
146,0,trial
147,0,trial
148,0,trial
149,0,trial
150,0,trial
151,0,trial
152,0,trial
153,0,trial
154,0,trial
155,0,trial
156,0,trial
157,0,trial
158,0,trial
159,0,trial
160,0,trial
161,0,trial
162,0,trial
163,0,trial
164,0,trial
165,0,trial
166,0,trial
167,0,trial
168,0,trial
169,0,trial
170,0,trial
171,0,trial
172,0,trial
173,0,trial
174,0,trial
175,0,trial
176,0,trial
177,0,trial
178,0,trial
179,0,trial
180,0,trial
181,0,trial
182,0,trial
183,0,trial
184,0,trial
185,0,trial
186,0,trial
187,0,trial
188,0,trial
189,0,trial
190,0,trial
191,0,trial
192,0,trial
193,0,trial
194,0,trial
195,0,trial
196,0,trial
197,0,trial
198,0,trial
199,0,trial
200,0,trial
201,0,trial
202,0,trial
203,0,trial
204,0,trial
205,0,trial
206,0,trial
207,0,trial
208,0,trial
209,0,trial
210,0,trial
211,0,trial
212,0,trial
213,0,trial
214,0,trial
215,0,trial
216,0,trial
217,0,trial
218,0,trial
219,0,trial
220,0,trial
221,0,trial
222,0,trial
223,0,trial
224,0,trial
225,0,trial
226,0,trial
227,0,trial
228,0,trial
229,0,trial
230,0,trial
231,0,trial
232,0,trial
233,0,trial
234,0,trial
235,0,trial
236,0,trial
237,0,trial
238,0,trial
239,0,trial
240,0,trial
241,0,trial
242,0,trial
243,0,trial
244,0,trial
245,0,trial
246,0,trial
247,0,trial
248,0,trial
249,0,trial
250,0,trial
251,0,trial
252,0,trial
253,0,trial
254,0,trial
255,0,trial
256,0,trial
257,0,trial
258,0,trial
259,0,trial
260,0,trial
261,0,trial
262,0,trial
263,0,trial
264,0,trial
265,0,trial
266,0,trial
267,0,trial
268,0,trial
269,0,trial
270,0,trial
271,0,trial
272,0,trial
273,0,trial
274,0,trial
275,0,trial
276,0,trial
277,0,trial
278,0,trial
279,0,trial
280,0,trial
281,0,trial
282,0,trial
283,0,trial
284,0,trial
285,0,trial
286,0,trial
287,0,trial
288,0,trial
289,0,trial
290,0,trial
291,0,trial
292,0,trial
293,0,trial
294,0,trial
295,0,trial
296,0,trial
297,0,trial
298,0,trial
299,0,trial
300,0,trial
301,0,trial
302,0,trial
303,0,trial
304,0,trial
305,0,trial
306,0,trial
307,0,trial
308,0,trial
309,0,trial
310,0,trial
311,0,trial
312,0,trial
313,0,trial
314,0,trial
315,0,trial
316,0,trial
317,0,trial
318,0,trial
319,0,trial
320,0,trial
321,0,trial
322,0,trial
323,0,trial
324,0,trial
325,0,trial
326,0,trial
327,0,trial
328,0,trial
329,0,trial
330,0,trial
331,0,trial
332,0,trial
333,0,trial
334,0,trial
335,0,trial
336,0,trial
337,0,trial
338,0,trial
339,0,trial
340,0,trial
341,0,trial
342,0,trial
343,0,trial
344,0,trial
345,0,trial
346,0,trial
347,0,trial
348,0,trial
349,0,trial
350,0,trial
351,0,trial
352,0,trial
353,0,trial
354,0,trial
355,0,trial
356,0,trial
357,0,trial
358,0,trial
359,0,trial
360,0,trial
361,0,trial
362,0,trial
363,0,trial
364,0,trial
365,0,trial
366,0,trial
367,0,trial
368,0,trial
369,0,trial
370,0,trial
371,0,trial
372,0,trial
373,0,trial
374,0,trial
375,0,trial
376,0,trial
377,0,trial
378,0,trial
